ValueMeaning	LabelValueMeaning	DataElementConcept	dataelementconcept_lower
UMLS:C3714276	Paternal uncle	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C3714277	Maternal uncle	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C0337576	Aunt	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C3714274	Paternal aunt	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C3714275	Maternal aunt	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C0337580	Cousin	FamilyCancerHistory_Parentage	familycancerhistory_parentage
OSIRIS:C77-6	Other	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C0439673	Unknown	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C1882062	Neoplasm	TumorPathologyEvent_Type	tumorpathologyevent_type
UMLS:C2939419	Metastatic Malignant Neoplasm (NCI:C36263)	TumorPathologyEvent_Type	tumorpathologyevent_type
UMLS:C0521158	Recurrent tumor	TumorPathologyEvent_Type	tumorpathologyevent_type
UMLS:C0677930	Primary tumor	TumorPathologyEvent_Type	tumorpathologyevent_type
UMLS:C0439673	Unknown	TumorPathologyEvent_Type	tumorpathologyevent_type
0	activité normale sans restriction	TumorPathologyEvent_PerformanceStatus	tumorpathologyevent_performancestatus
1	restreint pour des activités physiques importantes, mais patient ambulant et capable de fournir un travail léger	TumorPathologyEvent_PerformanceStatus	tumorpathologyevent_performancestatus
2	ambulant et capable de se prendre en charge, mais incapable de fournir un travail et alité pendant moins de 50 % de son temps	TumorPathologyEvent_PerformanceStatus	tumorpathologyevent_performancestatus
3	capacité de prise en charge propre beaucoup plus limitée. Passe plus de 50 % de son temps au lit ou dans une chaise.	TumorPathologyEvent_PerformanceStatus	tumorpathologyevent_performancestatus
4	complètement grabataire. Incapable de se prendre en charge. Le patient reste totalement confiné au lit ou dans une chaise.	TumorPathologyEvent_PerformanceStatus	tumorpathologyevent_performancestatus
Tx	Tx	TNM_T	tnm_t
T0	T0	TNM_T	tnm_t
T1	T1	TNM_T	tnm_t
T1a	T1a	TNM_T	tnm_t
T1b	T1b	TNM_T	tnm_t
T1c	T1c	TNM_T	tnm_t
T2	T2	TNM_T	tnm_t
T3	T3	TNM_T	tnm_t
T4	T4	TNM_T	tnm_t
T4a	T4a	TNM_T	tnm_t
T4b	T4b	TNM_T	tnm_t
T4c	T4c	TNM_T	tnm_t
T4d	T4d	TNM_T	tnm_t
Nx	Nx	TNM_N	tnm_n
N0	N0	TNM_N	tnm_n
N1mi	N1mi	TNM_N	tnm_n
N1	N1	TNM_N	tnm_n
N2	N2	TNM_N	tnm_n
N3	N3	TNM_N	tnm_n
Mx	Mx	TNM_M	tnm_m
M0	M0	TNM_M	tnm_m
M1	M1	TNM_M	tnm_m
UMLS:C0439673	Unknown	TNM_M	tnm_m
OSIRIS:C27-1	UICC TNM Classification 5th edition	TNM_Version	tnm_version
OSIRIS:C27-2	UICC TNM Classification 6th edition	TNM_Version	tnm_version
OSIRIS:C27-3	UICC TNM Classification 7th edition	TNM_Version	tnm_version
UMLS:C0439673	Unknown	TNM_Version	tnm_version
c	Clinique	TNM_Type	tnm_type
p	Pathologique	TNM_Type	tnm_type
y	Après traitement neoadjuvant	TNM_Type	tnm_type
u	Radiologique	TNM_Type	tnm_type
UMLS:C0439673	Unknown	TNM_Type	tnm_type
TO_BE_DEFINED	TO_BE_DEFINED	TumorPathologyEvent_HistologicalGradeType	tumorpathologyevent_histologicalgradetype
TO_BE_DEFINED	TO_BE_DEFINED	TumorPathologyEvent_HistologicalGradeValue	tumorpathologyevent_histologicalgradevalue
TO_BE_DEFINED	TO_BE_DEFINED	TumorPathologyEvent_StadeType	tumorpathologyevent_stadetype
TO_BE_DEFINED	TO_BE_DEFINED	TumorPathologyEvent_StadeValue	tumorpathologyevent_stadevalue
UMLS:C0238767	Bilateral	TumorPathologyEvent_Laterality	tumorpathologyevent_laterality
UMLS:C0205091	Left	TumorPathologyEvent_Laterality	tumorpathologyevent_laterality
UMLS:C2939193	Median (qualifier value)	TumorPathologyEvent_Laterality	tumorpathologyevent_laterality
UMLS:C1272460	Not Applicable	TumorPathologyEvent_Laterality	tumorpathologyevent_laterality
UMLS:C0205090	Right	TumorPathologyEvent_Laterality	tumorpathologyevent_laterality
UMLS:C0439673	Unknown	TumorPathologyEvent_Laterality	tumorpathologyevent_laterality
OSIRIS:C37-1	Biology	Analysis_Type	analysis_type
OSIRIS:C37-2	Imaging	Analysis_Type	analysis_type
OSIRIS:C37-3	Omic	Analysis_Type	analysis_type
OSIRIS:C37-4	Pathology	Analysis_Type	analysis_type
UMLS:C0439673	Unknown	Analysis_Type	analysis_type
RECIST:CR	Complete Response	ResponseEvaluation_Status	responseevaluation_status
RECIST:PR	Partial Response	ResponseEvaluation_Status	responseevaluation_status
RECIST:SD	Stable disease	ResponseEvaluation_Status	responseevaluation_status
RECIST:PD	Progressive Disease	ResponseEvaluation_Status	responseevaluation_status
RECIST:NE	Not evaluable	ResponseEvaluation_Status	responseevaluation_status
OSIRIS:C39-1	CKIT	Biomarker_Code	biomarker_code
OSIRIS:C39-2	b-catenine	Biomarker_Code	biomarker_code
OSIRIS:C39-3	CKIT/DOG1	Biomarker_Code	biomarker_code
OSIRIS:C39-4	FOXL2/DICER	Biomarker_Code	biomarker_code
OSIRIS:C39-5	ETV6-NTRK3	Biomarker_Code	biomarker_code
OSIRIS:C39-6	MYB-NFIB	Biomarker_Code	biomarker_code
OSIRIS:C39-7	PDGFRA/FGFR1	Biomarker_Code	biomarker_code
OSIRIS:C39-8	MDM2	Biomarker_Code	biomarker_code
OSIRIS:C39-9	N-MYC	Biomarker_Code	biomarker_code
OSIRIS:C39-10	C-MYC	Biomarker_Code	biomarker_code
OSIRIS:C39-11	BCR-ABL1	Biomarker_Code	biomarker_code
OSIRIS:C39-12	COL1A1	Biomarker_Code	biomarker_code
OSIRIS:C39-13	DDIT3	Biomarker_Code	biomarker_code
OSIRIS:C39-14	EWSR2	Biomarker_Code	biomarker_code
OSIRIS:C39-15	SYT	Biomarker_Code	biomarker_code
OSIRIS:C39-16	CTNNB1	Biomarker_Code	biomarker_code
OSIRIS:C39-17	FUS	Biomarker_Code	biomarker_code
OSIRIS:C39-18	IGH-BCL2	Biomarker_Code	biomarker_code
OSIRIS:C39-19	JAZF1	Biomarker_Code	biomarker_code
OSIRIS:C39-20	FOXO1A	Biomarker_Code	biomarker_code
OSIRIS:C39-21	TFE3	Biomarker_Code	biomarker_code
OSIRIS:C39-22	HPV	Biomarker_Code	biomarker_code
OSIRIS:C39-23	Merkell	Biomarker_Code	biomarker_code
OSIRIS:C39-24	EBER	Biomarker_Code	biomarker_code
OSIRIS:C39-25	PSA	Biomarker_Code	biomarker_code
OSIRIS:C39-26	CA125	Biomarker_Code	biomarker_code
OSIRIS:C39-27	CA153	Biomarker_Code	biomarker_code
OSIRIS:C39-28	CA199	Biomarker_Code	biomarker_code
OSIRIS:C39-29	Ki67	Biomarker_Code	biomarker_code
OSIRIS:C39-30	Nb mitoses	Biomarker_Code	biomarker_code
OSIRIS:C39-31	RO	Biomarker_Code	biomarker_code
OSIRIS:C39-32	RP	Biomarker_Code	biomarker_code
OSIRIS:C39-33	HER2	Biomarker_Code	biomarker_code
OSIRIS:C39-34	PD-L1	Biomarker_Code	biomarker_code
OSIRIS:C39-35	AMHR2	Biomarker_Code	biomarker_code
OSIRIS:C39-36	P53	Biomarker_Code	biomarker_code
OSIRIS:C39-37	BRCA	Biomarker_Code	biomarker_code
OSIRIS:C39-38	MSI	Biomarker_Code	biomarker_code
OSIRIS:C39-39	CDK12	Biomarker_Code	biomarker_code
OSIRIS:C39-40	BRAF	Biomarker_Code	biomarker_code
OSIRIS:C39-41	NRAS-KRAS	Biomarker_Code	biomarker_code
OSIRIS:C39-42	EGFR	Biomarker_Code	biomarker_code
OSIRIS:C39-43	ALK	Biomarker_Code	biomarker_code
OSIRIS:C39-44	ROS1	Biomarker_Code	biomarker_code
OSIRIS:C39-45	C-MET	Biomarker_Code	biomarker_code
OSIRIS:C39-46	ESR1	Biomarker_Code	biomarker_code
OSIRIS:C39-47	PAM50	Biomarker_Code	biomarker_code
OSIRIS:C39-48	ENDOPREDICT	Biomarker_Code	biomarker_code
UMLS:C0518015	Hemoglobin Measurement	Biomarker_Code	biomarker_code
UMLS:C0014772	Erythrocyte Count	Biomarker_Code	biomarker_code
UMLS:C0023508	Leukocyte Count	Biomarker_Code	biomarker_code
UMLS:C0032181	Platelet Count	Biomarker_Code	biomarker_code
UMLS:C0948762	Absolute Neutrophil Count	Biomarker_Code	biomarker_code
UMLS:C0200635	Lymphocyte Count	Biomarker_Code	biomarker_code
UMLS:C0200637	Monocyte Count	Biomarker_Code	biomarker_code
UMLS:C0200638	Eosinophil Count	Biomarker_Code	biomarker_code
UMLS:C0200641	Total Basophil Count	Biomarker_Code	biomarker_code
UMLS:C0337443	Sodium Measurement	Biomarker_Code	biomarker_code
UMLS:C0202194	Potassium Measurement	Biomarker_Code	biomarker_code
UMLS:C0201925	Calcium Measurement	Biomarker_Code	biomarker_code
UMLS:C0201975	Creatinine Measurement	Biomarker_Code	biomarker_code
NCI:C150847	Estimated Creatinine Clearance	Biomarker_Code	biomarker_code
UMLS:C0201913	Total Bilirubin Measurement	Biomarker_Code	biomarker_code
UMLS:C0523826	Phosphate Measurement	Biomarker_Code	biomarker_code
UMLS:C0373675	Magnesium Measurement	Biomarker_Code	biomarker_code
UMLS:C0201899	Aspartate Aminotransferase Measurement	Biomarker_Code	biomarker_code
UMLS:C0201836	Alanine Aminotransferase Measurement	Biomarker_Code	biomarker_code
UMLS:C0201838	Albumin Measurement	Biomarker_Code	biomarker_code
UMLS:C0033707	Prothrombin Time	Biomarker_Code	biomarker_code
UMLS:C0525032	International Normalized Ratio of Prothrombin Time	Biomarker_Code	biomarker_code
UMLS:C0030605	Partial Thromboplastin Time	Biomarker_Code	biomarker_code
UMLS:C3665472	Chemotherapy	Treatment_Type	treatment_type
UMLS:C0279025	Hormone therapy	Treatment_Type	treatment_type
UMLS:C1522449	Therapeutic radiology procedure	Treatment_Type	treatment_type
UMLS:C0728940	Surgery	Treatment_Type	treatment_type
UMLS:C0006098	Brachytherapy	Treatment_Type	treatment_type
UMLS:C0021083	Immunotherapy	Treatment_Type	treatment_type
UMLS:C0005961	Bone marrow transplant	Treatment_Type	treatment_type
UMLS:C0279694	Monoclonal antibody	Treatment_Type	treatment_type
UMLS:C0439673	Unknown	Treatment_Type	treatment_type
TO_BE_DEFINED	TO_BE_DEFINED	Treatment_ActivityCode	treatment_activitycode
R0	No apparent residual disease	Treatment_SurgeryResectionQuality	treatment_surgeryresectionquality
R1	Microscopic residual disease	Treatment_SurgeryResectionQuality	treatment_surgeryresectionquality
R2	Gross residual disease	Treatment_SurgeryResectionQuality	treatment_surgeryresectionquality
UMLS:C0439673	Unknown	Treatment_SurgeryResectionQuality	treatment_surgeryresectionquality
UMLS:C0005767	Blood	BiologicalSample_Nature	biologicalsample_nature
UMLS:C0032105	Plasma	BiologicalSample_Nature	biologicalsample_nature
UMLS:C0033684	Protein	BiologicalSample_Nature	biologicalsample_nature
UMLS:C0035668	RNA	BiologicalSample_Nature	biologicalsample_nature
UMLS:C0012854	DNA	BiologicalSample_Nature	biologicalsample_nature
UMLS:C1321301	Peripheral Blood Mononuclear Cell	BiologicalSample_Nature	biologicalsample_nature
UMLS:C0085983	Tumor Cell Line	BiologicalSample_Nature	biologicalsample_nature
UMLS:C1548793	Frozen Specimen	BiologicalSample_Nature	biologicalsample_nature
UMLS:C1519524	Paraffin Embedded Tissue (FFPE)	BiologicalSample_Nature	biologicalsample_nature
UMLS:C0042036	Urine	BiologicalSample_Nature	biologicalsample_nature
UMLS:C0439673	Unknown	BiologicalSample_Nature	biologicalsample_nature
OSIRIS:O59-1	Normal	BiologicalSample_Origin	biologicalsample_origin
OSIRIS:O59-2	Tumoral	BiologicalSample_Origin	biologicalsample_origin
UMLS:C0439673	Unknown	BiologicalSample_Origin	biologicalsample_origin
OSIRIS:C60-1	Room temperature	BiologicalSample_StorageTemperature	biologicalsample_storagetemperature
OSIRIS:C60-2	Between 2 °C and 10 °C	BiologicalSample_StorageTemperature	biologicalsample_storagetemperature
OSIRIS:C60-3	Between -18 °C and -35 °C	BiologicalSample_StorageTemperature	biologicalsample_storagetemperature
OSIRIS:C60-4	Between -60 °C and -85 °C	BiologicalSample_StorageTemperature	biologicalsample_storagetemperature
OSIRIS:C60-5	Liquid nitrogen, -150 °C to -196 °C	BiologicalSample_StorageTemperature	biologicalsample_storagetemperature
OSIRIS:C60-6	Other	BiologicalSample_StorageTemperature	biologicalsample_storagetemperature
UMLS:C0439673	Unknown	BiologicalSample_StorageTemperature	biologicalsample_storagetemperature
OSIRIS:O6-1	ChIP-on-Chip	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-2	ChIP-seq	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-3	DNA microarray	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-4	DNA targeted panel sequencing	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-5	Exome sequencing	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-6	Mass spectrometry	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-7	MeDIP-Chip	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-8	MeDIP-seq	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-9	Methylation microarray	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-10	RNA microarray	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-11	RNA targeted panel sequencing	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-12	RNA-seq	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-13	RPPA	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-14	Whole genome bisulfite sequencing	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-15	Whole genome sequencing	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-16	miRNA microarray	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O6-OTH	Other	Technology_TechnicalProtocol	technology_technicalprotocol
OSIRIS:O7-1	Affymetrix Cytoscan HD	Technology_PlatformName	technology_platformname
OSIRIS:O7-2	Affymetrix EMET Plus Premier Pack	Technology_PlatformName	technology_platformname
OSIRIS:O7-3	Affymetrix Genome-Wide Human SNP Array 5.0	Technology_PlatformName	technology_platformname
OSIRIS:O7-4	Affymetrix Genome-Wide Human SNP Array 6.0	Technology_PlatformName	technology_platformname
OSIRIS:O7-5	Affymetrix HT Human Genome U133A Array Plate Set	Technology_PlatformName	technology_platformname
OSIRIS:O7-6	Affymetrix Human Exon 1.0 ST	Technology_PlatformName	technology_platformname
OSIRIS:O7-7	Affymetrix Human Gene 1.0 ST	Technology_PlatformName	technology_platformname
OSIRIS:O7-8	Affymetrix Human Genome U219 Array Plate	Technology_PlatformName	technology_platformname
OSIRIS:O7-9	Affymetrix Human MIP 330K	Technology_PlatformName	technology_platformname
OSIRIS:O7-10	Affymetrix Human U133 Plus 2.0	Technology_PlatformName	technology_platformname
OSIRIS:O7-11	Affymetrix Human U133 Plus PM	Technology_PlatformName	technology_platformname
OSIRIS:O7-12	Affymetrix Mapping 100K Array Set	Technology_PlatformName	technology_platformname
OSIRIS:O7-13	Affymetrix Mapping 10K 2.0 Array Set	Technology_PlatformName	technology_platformname
OSIRIS:O7-14	Affymetrix Mapping 500K Array Set	Technology_PlatformName	technology_platformname
OSIRIS:O7-15	Affymetrix OncoScan FFPE Express 2.0	Technology_PlatformName	technology_platformname
OSIRIS:O7-16	Agilent 244K Custom Gene Expression G4502A-07	Technology_PlatformName	technology_platformname
OSIRIS:O7-17	Agilent 244K Custom Gene Expression G4502A-07-1	Technology_PlatformName	technology_platformname
OSIRIS:O7-18	Agilent 244K Custom Gene Expression G4502A-07-2	Technology_PlatformName	technology_platformname
OSIRIS:O7-19	Agilent 244K Custom Gene Expression G4502A-07-3	Technology_PlatformName	technology_platformname
OSIRIS:O7-20	Agilent 8 x 15K Human miRNA-specific microarray	Technology_PlatformName	technology_platformname
OSIRIS:O7-21	Agilent Human CGH 1x1M	Technology_PlatformName	technology_platformname
OSIRIS:O7-22	Agilent Human CGH 2x400K	Technology_PlatformName	technology_platformname
OSIRIS:O7-23	Agilent Human CGH 4x180K	Technology_PlatformName	technology_platformname
OSIRIS:O7-24	Agilent Human CGH 8x60K	Technology_PlatformName	technology_platformname
OSIRIS:O7-25	Agilent Human CNV 2x400K	Technology_PlatformName	technology_platformname
OSIRIS:O7-26	Agilent Human CNV Association 2x105K	Technology_PlatformName	technology_platformname
OSIRIS:O7-27	Agilent Human CpG Island Microarray Kit	Technology_PlatformName	technology_platformname
OSIRIS:O7-28	Agilent Human Genome 105A	Technology_PlatformName	technology_platformname
OSIRIS:O7-29	Agilent Human Genome 244A	Technology_PlatformName	technology_platformname
OSIRIS:O7-30	Agilent Human Genome 44K	Technology_PlatformName	technology_platformname
OSIRIS:O7-31	Agilent Human Genome CGH Custom Microaary 2x415K	Technology_PlatformName	technology_platformname
OSIRIS:O7-32	Agilent Human miRNA Microarray Kit (v2)	Technology_PlatformName	technology_platformname
OSIRIS:O7-33	Agilent Human Promoter ChIP-on-chip Microarray Set	Technology_PlatformName	technology_platformname
OSIRIS:O7-34	Agilent Human SpliceArray	Technology_PlatformName	technology_platformname
OSIRIS:O7-35	Agilent Whole Human Genome Oligo Microarray Kit	Technology_PlatformName	technology_platformname
OSIRIS:O7-36	Almac Human CRC	Technology_PlatformName	technology_platformname
OSIRIS:O7-37	capillary sequencing	Technology_PlatformName	technology_platformname
OSIRIS:O7-38	Complete Genomics	Technology_PlatformName	technology_platformname
OSIRIS:O7-39	Custom-designed cDNA array	Technology_PlatformName	technology_platformname
OSIRIS:O7-40	Custom-designed gene expression array	Technology_PlatformName	technology_platformname
OSIRIS:O7-41	Helicos sequencing	Technology_PlatformName	technology_platformname
OSIRIS:O7-42	HumanOmni2.5-8 BeadChip Kit	Technology_PlatformName	technology_platformname
OSIRIS:O7-43	Illumina GA sequencing	Technology_PlatformName	technology_platformname
OSIRIS:O7-44	Illumina goldengate methylation	Technology_PlatformName	technology_platformname
OSIRIS:O7-45	Illumina GoldenGate Methylation Cancer Panel I	Technology_PlatformName	technology_platformname
OSIRIS:O7-46	Illumina HiSeq	Technology_PlatformName	technology_platformname
OSIRIS:O7-47	Illumina HiSeq X Ten	Technology_PlatformName	technology_platformname
OSIRIS:O7-48	Illumina Human Omni1-Quad beadchip	Technology_PlatformName	technology_platformname
OSIRIS:O7-49	Illumina Human1M OmniQuad chip	Technology_PlatformName	technology_platformname
OSIRIS:O7-50	Illumina human1m-duo	Technology_PlatformName	technology_platformname
OSIRIS:O7-51	Illumina human510s-duo	Technology_PlatformName	technology_platformname
OSIRIS:O7-52	Illumina human660w-quad	Technology_PlatformName	technology_platformname
OSIRIS:O7-53	Illumina HumanCNV370-Duo v1.0 BeadChip	Technology_PlatformName	technology_platformname
OSIRIS:O7-54	Illumina humancytosnp-12	Technology_PlatformName	technology_platformname
OSIRIS:O7-55	Illumina HumanHap550	Technology_PlatformName	technology_platformname
OSIRIS:O7-56	Illumina HumanHT-12 v4.0 beadchip	Technology_PlatformName	technology_platformname
OSIRIS:O7-57	Illumina humanht-16	Technology_PlatformName	technology_platformname
OSIRIS:O7-58	Illumina humanht-17	Technology_PlatformName	technology_platformname
OSIRIS:O7-59	Illumina humanmethylation27	Technology_PlatformName	technology_platformname
OSIRIS:O7-60	Illumina HumanOmniExpress BeadChip	Technology_PlatformName	technology_platformname
OSIRIS:O7-61	Illumina HumanRef-8 v3.0 beadchip	Technology_PlatformName	technology_platformname
OSIRIS:O7-62	Illumina HumanWG-6 v3.0 beadchip	Technology_PlatformName	technology_platformname
OSIRIS:O7-63	Illumina Infinium HumanMethylation450	Technology_PlatformName	technology_platformname
OSIRIS:O7-64	Illumina microRNA Expression Profiling Panel	Technology_PlatformName	technology_platformname
OSIRIS:O7-65	Illumina MiSeq Personal Sequencer	Technology_PlatformName	technology_platformname
OSIRIS:O7-66	Ion Torrent PGM	Technology_PlatformName	technology_platformname
OSIRIS:O7-67	Ion Torrent Proton	Technology_PlatformName	technology_platformname
OSIRIS:O7-68	M.D. Anderson Reverse Phase Protein Array Core	Technology_PlatformName	technology_platformname
OSIRIS:O7-69	Microsatellite Instability Analysis	Technology_PlatformName	technology_platformname
OSIRIS:O7-70	nanoString	Technology_PlatformName	technology_platformname
OSIRIS:O7-71	Nimblegen CGS	Technology_PlatformName	technology_platformname
OSIRIS:O7-72	Nimblegen Gene Expression 12x135K	Technology_PlatformName	technology_platformname
OSIRIS:O7-73	Nimblegen Gene Expression 385K	Technology_PlatformName	technology_platformname
OSIRIS:O7-74	Nimblegen Gene Expression 4x72K	Technology_PlatformName	technology_platformname
OSIRIS:O7-75	Nimblegen Human CGH 2.1M Whole-Genome v2.0D Array	Technology_PlatformName	technology_platformname
OSIRIS:O7-76	Nimblegen Human CGH 3x720 Whole-Genome v3.0 Array	Technology_PlatformName	technology_platformname
OSIRIS:O7-77	Nimblegen Human Methylation 2.1M Whole-Genome sets	Technology_PlatformName	technology_platformname
OSIRIS:O7-78	Nimblegen Human Methylation 385K Whole-Genome sets	Technology_PlatformName	technology_platformname
OSIRIS:O7-79	PacBio RS sequencing	Technology_PlatformName	technology_platformname
OSIRIS:O7-80	PCR	Technology_PlatformName	technology_platformname
OSIRIS:O7-81	PCR and capillary sequencing	Technology_PlatformName	technology_platformname
OSIRIS:O7-82	qPCR	Technology_PlatformName	technology_platformname
OSIRIS:O7-83	Roche 454 sequencing	Technology_PlatformName	technology_platformname
OSIRIS:O7-84	Sequenom MassARRAY	Technology_PlatformName	technology_platformname
